quote,author
“the world as we have created it is a process of our thinking. it cannot be changed without changing our thinking.”,albert einstein
"“it is our choices, harry, that show what we truly are, far more than our abilities.”",j.k. rowling
“there are only two ways to live your life. one is as though nothing is a miracle. the other is as though everything is a miracle.”,albert einstein
"“the person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",jane austen
"“imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”",marilyn monroe
“try not to become a man of success. rather become a man of value.”,albert einstein
“it is better to be hated for what you are than to be loved for what you are not.”,andré gide
"“i have not failed. i've just found 10,000 ways that won't work.”",thomas a. edison
“a woman is like a tea bag; you never know how strong it is until it's in hot water.”,eleanor roosevelt
"“a day without sunshine is like, you know, night.”",steve martin
"“this life is what you make it. no matter what, you're going to mess up sometimes, it's a universal truth. but the good part is you get to decide how you're going to mess it up. girls will be your friends - they'll act like it anyway. but just remember, some come, some go. the ones that stay with you through everything - they're your true best friends. don't let go of them. also remember, sisters make the best friends in the world. as for lovers, well, they'll come and go too. and baby, i hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. you'll never find that half who makes you whole and that goes for everything. just because you fail once, doesn't mean you're gonna fail at everything. keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? so keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”",marilyn monroe
"“it takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”",j.k. rowling
"“if you can't explain it to a six year old, you don't understand it yourself.”",albert einstein
"“you may not be her first, her last, or her only. she loved before she may love again. but if she loves you now, what else matters? she's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. she may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. so don't hurt her, don't change her, don't analyze and don't expect more than she can give. smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”",bob marley
"“i like nonsense, it wakes up the brain cells. fantasy is a necessary ingredient in living.”",dr. seuss
"“i may not have gone where i intended to go, but i think i have ended up where i needed to be.”",douglas adams
"“the opposite of love is not hate, it's indifference. the opposite of art is not ugliness, it's indifference. the opposite of faith is not heresy, it's indifference. and the opposite of life is not death, it's indifference.”",elie wiesel
"“it is not a lack of love, but a lack of friendship that makes unhappy marriages.”",friedrich nietzsche
"“good friends, good books, and a sleepy conscience: this is the ideal life.”",mark twain
“life is what happens to us while we are making other plans.”,allen saunders
"“i love you without knowing how, or when, or from where. i love you simply, without problems or pride: i love you in this way because i do not know any other way of loving but this, in which there is no i or you, so intimate that your hand upon my chest is my hand, so intimate that when i fall asleep your eyes close.”",pablo neruda
“for every minute you are angry you lose sixty seconds of happiness.”,ralph waldo emerson
"“if you judge people, you have no time to love them.”",mother teresa
“anyone who thinks sitting in church can make you a christian must also think that sitting in a garage can make you a car.”,garrison keillor
“beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”,jim henson
"“today you are you, that is truer than true. there is no one alive who is youer than you.”",dr. seuss
